"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1016.2","1019.9","15.5","8.3","62","3.3","100","7.8","100","0.0","0.0","--","0.00","--","0","--"
"02","1016.0","1019.7","15.5","8.7","64","2.0","110","7.2","100","0.0","0.0","--","0.00","--","0","--"
"03","1016.0","1019.7","15.4","9.3","67","2.5","110","6.1","130","0.0","0.0","--","0.00","--","0","--"
"04","1015.9","1019.6","15.5","9.6","68","2.6","120","6.3","80","0.0","0.0","--","0.00","--","0","--"
"05","1015.8","1019.4","15.8","9.7","67","2.5","110","6.1","90","0.0","0.0","--","0.00","--","0","--"
"06","1016.0","1019.6","15.8","9.5","66","2.9","120","6.6","140","0.0","0.0","0.0","0.00","--","0","--"
"07","1016.2","1019.8","16.0","9.7","66","3.0","110","7.1","100","0.0","0.0","0.4","0.07","--","0","--"
"08","1016.5","1020.1","17.1","9.8","62","2.6","100","6.6","100","0.0","0.0","1.0","0.59","45.0","0","1.0"
"09","1016.3","1019.9","18.8","10.1","57","3.6","100","10.3","90","0.0","0.0","1.0","1.30","50.0","1","2.0"
"10","1016.0","1019.6","20.0","10.4","54","3.6","90","9.6","90","0.0","0.0","1.0","1.91","--","3","--"
"11","1014.9","1018.5","21.3","11.4","53","3.4","90","9.4","90","0.0","0.0","1.0","2.41","50.0","4","5.0"
"12","1013.7","1017.3","21.1","11.5","54","4.3","100","10.3","130","0.0","0.0","1.0","2.45","--","5","--"
"13","1012.5","1016.1","21.6","11.6","53","3.6","90","10.4","100","0.0","0.0","1.0","2.53","--","5","--"
"14","1011.8","1015.4","22.1","11.8","52","3.3","100","9.8","90","0.0","0.0","1.0","2.23","50.0","3","5.0"
"15","1011.6","1015.2","21.2","12.1","56","2.5","80","9.3","90","0.0","0.0","1.0","1.56","--","1","--"
"16","1011.9","1015.5","20.7","11.9","57","3.3","100","9.3","90","0.0","0.0","0.3","0.74","--","0","--"
"17","1012.2","1015.8","20.0","12.0","60","3.1","110","8.8","130","0.0","0.0","0.2","0.20","50.0","0","5.0"
"18","1012.5","1016.1","19.5","12.0","62","2.0","100","8.6","100","0.0","0.0","0.0","0.00","--","0","--"
"19","1012.8","1016.4","19.1","12.2","64","2.3","100","6.5","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1012.7","1016.3","18.9","12.4","66","3.0","100","7.0","110","0.0","0.0","--","0.00","--","0","--"
"21","1012.8","1016.4","18.7","12.7","68","2.0","100","6.8","100","0.0","0.0","--","0.00","--","0","--"
"22","1012.5","1016.1","18.8","12.8","68","3.0","100","6.2","80","0.0","0.0","--","0.00","--","0","--"
"23","1012.4","1016.0","18.9","12.9","68","1.5","90","5.5","110","0.0","0.0","--","0.00","--","0","--"
"24","1012.3","1015.9","18.7","12.9","69","0.7","120","3.6","80","0.0","0.0","--","0.00","--","0","--"